user_id,Sum of num_games,Sum of num_wins,win_user_per
763,4450,3818,0.86
1035,303,257,0.85
1021,308,258,0.84
766,171,142,0.83
936,544,449,0.83
880,213,171,0.8
452,2625,2078,0.79
2780,513,406,0.79
767,172,135,0.78
520,240,187,0.78
1131,666,509,0.76
2016,1961,1498,0.76
1717,659,501,0.76
1983,237,179,0.76
1323,359,271,0.75
115,356,268,0.75
1734,24,18,0.75
2328,1948,1444,0.74
1625,332,246,0.74
1900,1058,783,0.74
328,221,163,0.74
1926,527,388,0.74
267,701,516,0.74
223,2314,1702,0.74
2911,430,316,0.73
615,2206,1614,0.73
1510,223,163,0.73
1895,931,680,0.73
717,370,269,0.73
2877,1075,780,0.73
1807,816,591,0.72
560,123,89,0.72
859,376,272,0.72
1877,704,508,0.72
723,487,351,0.72
703,2037,1466,0.72
1915,824,591,0.72
368,342,245,0.72
2399,1138,815,0.72
2781,697,499,0.72
2327,1837,1314,0.72
2715,1559,1115,0.72
1708,45,32,0.71
2429,2713,1928,0.71
1831,636,451,0.71
455,2387,1691,0.71
981,267,188,0.7
1730,500,352,0.7
2782,1786,1254,0.7
1324,762,535,0.7
1252,1450,1018,0.7
2892,845,593,0.7
286,3118,2188,0.7
23,1788,1254,0.7
2783,1881,1319,0.7
1817,354,248,0.7
656,217,152,0.7
1766,480,336,0.7
2428,1565,1095,0.7
2673,2214,1544,0.7
2501,891,617,0.69
198,1086,752,0.69
2886,1785,1236,0.69
2030,315,218,0.69
2036,1473,1019,0.69
895,308,213,0.69
2061,1405,971,0.69
486,71,49,0.69
2974,1106,763,0.69
2001,1146,790,0.69
1779,296,204,0.69
233,302,208,0.69
1357,356,245,0.69
2596,1492,1026,0.69
385,544,374,0.69
1865,214,147,0.69
1511,386,265,0.69
1190,216,148,0.69
121,473,324,0.68
1709,600,410,0.68
1315,593,405,0.68
1707,167,114,0.68
1976,1931,1318,0.68
754,2236,1525,0.68
2947,596,406,0.68
2589,1224,833,0.68
1845,1801,1225,0.68
302,237,161,0.68
221,1402,951,0.68
1490,351,238,0.68
2435,266,180,0.68
25,844,571,0.68
1594,476,322,0.68
2031,782,529,0.68
904,552,373,0.68
2502,530,358,0.68
1068,576,389,0.68
2398,862,582,0.68
2045,258,174,0.67
2516,985,663,0.67
878,2783,1872,0.67
2375,1927,1296,0.67
2855,565,379,0.67
739,1220,818,0.67
1921,182,122,0.67
814,1601,1073,0.67
937,291,195,0.67
2967,2152,1442,0.67
410,357,239,0.67
2627,1030,689,0.67
498,943,630,0.67
926,726,485,0.67
584,4661,3113,0.67
1872,277,185,0.67
525,1481,988,0.67
1656,174,116,0.67
1990,738,492,0.67
2402,483,322,0.67
2745,449,299,0.67
178,8704,5796,0.67
2716,1906,1269,0.67
2140,1711,1139,0.67
1982,1903,1266,0.67
2461,2234,1484,0.66
2054,634,421,0.66
1777,1658,1099,0.66
195,347,230,0.66
2876,943,625,0.66
2734,507,336,0.66
2104,812,538,0.66
2962,912,604,0.66
1596,290,192,0.66
1856,4743,3136,0.66
1819,540,357,0.66
1869,1926,1272,0.66
2041,338,223,0.66
125,505,333,0.66
2915,1115,735,0.66
539,366,241,0.66
1943,1501,988,0.66
2288,1012,666,0.66
1224,701,461,0.66
2457,1483,975,0.66
2569,455,299,0.66
1022,379,249,0.66
1757,1539,1011,0.66
2912,1635,1074,0.66
995,740,486,0.66
1111,233,153,0.66
2958,576,378,0.66
1774,2077,1363,0.66
2202,1695,1112,0.66
1654,465,305,0.66
1744,1272,834,0.66
2505,882,578,0.66
2390,293,192,0.66
2335,426,279,0.65
234,585,383,0.65
619,417,273,0.65
1718,1989,1302,0.65
2087,546,357,0.65
1647,306,200,0.65
2775,2479,1620,0.65
1922,2592,1693,0.65
1726,331,216,0.65
64,1678,1095,0.65
1945,1073,700,0.65
2324,555,362,0.65
1092,546,356,0.65
1455,295,192,0.65
2597,681,443,0.65
2986,794,516,0.65
2470,1464,951,0.65
1787,635,412,0.65
2703,1924,1248,0.65
2454,748,485,0.65
60,1174,761,0.65
1947,399,258,0.65
2146,741,479,0.65
2108,639,413,0.65
2396,548,354,0.65
2742,2141,1382,0.65
2724,552,356,0.64
2693,1180,761,0.64
2056,2937,1894,0.64
133,1647,1062,0.64
2641,1585,1022,0.64
2679,1131,729,0.64
333,391,252,0.64
1493,402,259,0.64
2109,759,489,0.64
2285,455,293,0.64
1961,774,498,0.64
970,283,182,0.64
158,649,417,0.64
1767,372,239,0.64
1847,422,271,0.64
357,204,131,0.64
2138,299,192,0.64
733,475,305,0.64
2205,567,364,0.64
2826,2807,1802,0.64
1749,507,325,0.64
2744,916,587,0.64
2644,1122,719,0.64
1938,963,617,0.64
169,3353,2148,0.64
2339,2004,1283,0.64
1693,752,481,0.64
284,527,337,0.64
1673,868,555,0.64
1320,316,202,0.64
1806,905,578,0.64
2590,2164,1382,0.64
1381,1159,740,0.64
1715,307,196,0.64
2311,2463,1572,0.64
281,1785,1139,0.64
2466,1395,890,0.64
2833,439,280,0.64
2278,2023,1289,0.64
44,237,151,0.64
2395,617,393,0.64
1991,515,328,0.64
249,3022,1924,0.64
80,616,392,0.64
1145,594,378,0.64
2658,962,612,0.64
1890,453,288,0.64
1863,1463,930,0.64
2619,1114,708,0.64
1544,584,371,0.64
1736,1080,686,0.64
317,307,195,0.64
2279,1610,1022,0.63
2228,1347,855,0.63
2755,339,215,0.63
2227,913,579,0.63
1689,205,130,0.63
2652,820,520,0.63
1479,653,414,0.63
2028,2715,1721,0.63
2261,1210,767,0.63
2181,472,299,0.63
2748,1195,757,0.63
2776,1626,1030,0.63
2626,559,354,0.63
1542,289,183,0.63
639,1003,635,0.63
313,891,564,0.63
595,2831,1791,0.63
2843,1391,880,0.63
51,827,523,0.63
1737,427,270,0.63
2317,416,263,0.63
2194,2759,1744,0.63
985,761,481,0.63
996,182,115,0.63
134,1360,859,0.63
2756,2539,1603,0.63
2791,1906,1203,0.63
229,1406,887,0.63
1435,409,258,0.63
2603,2757,1739,0.63
921,723,456,0.63
2811,1037,654,0.63
1038,333,210,0.63
32,471,297,0.63
2858,996,628,0.63
2334,376,237,0.63
1667,1255,791,0.63
2366,828,521,0.63
1883,3719,2340,0.63
95,2898,1823,0.63
1970,1008,634,0.63
1936,388,244,0.63
1208,1365,858,0.63
86,2239,1407,0.63
2280,877,551,0.63
1932,433,272,0.63
1277,441,277,0.63
1944,328,206,0.63
2743,1752,1100,0.63
2535,763,479,0.63
2838,1742,1093,0.63
2306,1103,692,0.63
2564,1210,759,0.63
745,507,318,0.63
2287,338,212,0.63
2872,118,74,0.63
2333,394,247,0.63
882,946,593,0.63
1432,734,460,0.63
2331,1028,644,0.63
1776,613,384,0.63
2198,1151,721,0.63
2737,840,526,0.63
2727,2150,1346,0.63
2460,2569,1608,0.63
1053,1336,836,0.63
2566,299,187,0.63
2957,331,207,0.63
58,3761,2352,0.63
40,816,510,0.63
461,1736,1085,0.63
1468,400,250,0.63
2124,1157,723,0.62
2033,663,414,0.62
858,410,256,0.62
1778,2001,1249,0.62
1004,1522,950,0.62
819,625,390,0.62
1928,1367,853,0.62
2455,1795,1120,0.62
734,441,275,0.62
711,1586,989,0.62
443,2667,1663,0.62
2049,1176,733,0.62
2055,1408,877,0.62
1140,668,416,0.62
2046,689,429,0.62
1,1794,1117,0.62
2471,3380,2104,0.62
2682,429,267,0.62
974,3657,2276,0.62
575,2918,1816,0.62
423,1472,916,0.62
2024,548,341,0.62
449,2324,1446,0.62
2303,2341,1456,0.62
1312,349,217,0.62
1973,1668,1037,0.62
2034,378,235,0.62
318,3275,2036,0.62
2866,925,575,0.62
637,1912,1188,0.62
2219,1864,1158,0.62
2765,2215,1376,0.62
2754,660,410,0.62
2291,1520,944,0.62
2282,1132,703,0.62
2240,1715,1065,0.62
2878,1216,755,0.62
2635,1931,1198,0.62
2125,2579,1600,0.62
1355,553,343,0.62
608,874,542,0.62
2448,1271,788,0.62
47,1910,1184,0.62
1864,2641,1637,0.62
1115,2067,1281,0.62
2862,802,497,0.62
2966,1383,857,0.62
659,1554,962,0.62
2898,950,588,0.62
2664,1585,981,0.62
1043,354,219,0.62
2767,2095,1296,0.62
2933,970,600,0.62
1385,561,347,0.62
1771,1523,942,0.62
2786,731,452,0.62
2484,896,554,0.62
2544,1970,1218,0.62
1526,1239,766,0.62
2491,1113,688,0.62
13,2026,1252,0.62
417,1209,747,0.62
2409,968,598,0.62
705,1407,869,0.62
2705,1331,822,0.62
2081,708,437,0.62
2645,2312,1427,0.62
2875,1609,993,0.62
1868,441,272,0.62
927,827,510,0.62
222,4340,2676,0.62
2009,2673,1648,0.62
2422,618,381,0.62
833,558,344,0.62
2839,1168,720,0.62
601,683,421,0.62
2799,959,591,0.62
373,198,122,0.62
916,1498,923,0.62
45,784,483,0.62
1882,1159,714,0.62
1076,1432,882,0.62
2089,1408,867,0.62
20,523,322,0.62
1804,614,378,0.62
1755,1116,687,0.62
2102,1402,863,0.62
2636,2917,1795,0.62
2629,1115,686,0.62
1671,543,334,0.62
817,987,607,0.61
1905,2340,1439,0.61
1823,2020,1242,0.61
2043,568,349,0.61
2305,485,298,0.61
532,993,610,0.61
347,1628,1000,0.61
104,2706,1662,0.61
920,673,413,0.61
2704,724,444,0.61
2773,1639,1005,0.61
581,871,534,0.61
2672,2742,1681,0.61
107,2230,1367,0.61
1974,1842,1129,0.61
1340,465,285,0.61
2381,1441,883,0.61
2893,2037,1248,0.61
2182,1463,896,0.61
2338,1024,627,0.61
191,869,532,0.61
1424,624,382,0.61
433,1052,644,0.61
2107,165,101,0.61
1014,219,134,0.61
568,6338,3876,0.61
2298,643,393,0.61
243,774,473,0.61
2410,2111,1290,0.61
2787,1298,793,0.61
2156,948,579,0.61
1215,673,411,0.61
2360,1489,909,0.61
786,2690,1642,0.61
2183,1835,1120,0.61
1740,3035,1852,0.61
1727,1960,1196,0.61
2973,726,443,0.61
1706,259,158,0.61
1785,2415,1473,0.61
330,323,197,0.61
300,610,372,0.61
586,1348,822,0.61
2812,2142,1306,0.61
654,1614,984,0.61
295,2628,1602,0.61
2602,1981,1207,0.61
1862,1453,885,0.61
2141,1412,860,0.61
1642,468,285,0.61
2495,698,425,0.61
2172,1920,1169,0.61
800,322,196,0.61
1893,2021,1230,0.61
2197,894,544,0.61
329,1001,609,0.61
902,526,320,0.61
2820,1187,722,0.61
1854,1906,1159,0.61
2942,1505,915,0.61
2373,1811,1101,0.61
2451,556,338,0.61
2257,1696,1031,0.61
2147,1660,1009,0.61
275,1030,626,0.61
815,413,251,0.61
2885,2141,1301,0.61
1465,1542,937,0.61
2222,683,415,0.61
2792,828,503,0.61
251,3566,2166,0.61
420,736,447,0.61
2174,1882,1143,0.61
2260,1640,996,0.61
861,848,515,0.61
947,387,235,0.61
26,807,490,0.61
2195,1540,935,0.61
332,682,414,0.61
650,1262,766,0.61
542,613,372,0.61
1898,801,486,0.61
2683,445,270,0.61
1170,483,293,0.61
2469,1093,663,0.61
247,3149,1910,0.61
399,2005,1216,0.61
2477,1598,969,0.61
2118,945,573,0.61
1317,2898,1757,0.61
928,579,351,0.61
2948,777,471,0.61
2200,2803,1699,0.61
140,1409,854,0.61
987,830,503,0.61
374,467,283,0.61
2551,1439,872,0.61
402,807,489,0.61
2115,3197,1937,0.61
625,1129,684,0.61
2050,2613,1583,0.61
2561,1182,716,0.61
2517,2419,1465,0.61
1840,1080,654,0.61
1996,2856,1729,0.61
2496,1343,813,0.61
2444,1781,1078,0.61
170,722,437,0.61
781,304,184,0.61
2116,2698,1633,0.61
184,4418,2674,0.61
1957,499,302,0.61
876,385,233,0.61
1334,195,118,0.61
2793,1094,662,0.61
2176,1572,951,0.6
1662,858,519,0.6
2313,1268,767,0.6
426,1857,1123,0.6
1653,736,445,0.6
1552,650,393,0.6
1682,607,367,0.6
1713,2880,1741,0.6
2841,842,509,0.6
1382,1709,1033,0.6
144,235,142,0.6
2593,1880,1136,0.6
2963,1253,757,0.6
2349,1556,940,0.6
2264,1624,981,0.6
2796,1038,627,0.6
148,2331,1408,0.6
1211,2189,1322,0.6
2729,3378,2040,0.6
677,1141,689,0.6
2401,886,535,0.6
2004,732,442,0.6
2506,1262,762,0.6
1769,3171,1914,0.6
2802,2641,1594,0.6
2547,1014,612,0.6
1059,734,443,0.6
2465,1581,954,0.6
2925,1069,645,0.6
1278,368,222,0.6
1733,494,298,0.6
2300,1124,678,0.6
1304,630,380,0.6
1221,781,471,0.6
2032,912,550,0.6
2437,2374,1431,0.6
2788,584,352,0.6
1924,1208,728,0.6
2374,2018,1216,0.6
1637,3199,1927,0.6
71,845,509,0.6
1685,1114,671,0.6
2953,2127,1281,0.6
2424,935,563,0.6
1997,470,283,0.6
2955,1588,956,0.6
2070,1108,667,0.6
2735,716,431,0.6
2656,834,502,0.6
1909,899,541,0.6
2929,1386,834,0.6
2740,2197,1322,0.6
2592,1383,832,0.6
2392,1992,1198,0.6
1006,183,110,0.6
1871,406,244,0.6
1097,1227,737,0.6
2965,1675,1006,0.6
850,388,233,0.6
2467,3244,1948,0.6
1639,5571,3345,0.6
14,4158,2496,0.6
1069,405,243,0.6
2023,165,99,0.6
2992,1354,812,0.6
1792,1289,773,0.6
2488,1508,904,0.6
2684,1123,673,0.6
2404,277,166,0.6
2286,756,453,0.6
188,1961,1175,0.6
660,459,275,0.6
1875,1040,623,0.6
2580,2289,1371,0.6
164,3047,1825,0.6
2265,1710,1024,0.6
2557,678,406,0.6
2492,2141,1282,0.6
2012,157,94,0.6
738,1196,716,0.6
1371,5459,3268,0.6
197,1567,938,0.6
2675,1360,814,0.6
2000,4067,2434,0.6
2867,996,596,0.6
2711,3067,1835,0.6
2732,1172,701,0.6
1412,694,415,0.6
2587,2619,1566,0.6
2421,1350,807,0.6
2077,1215,726,0.6
655,1103,659,0.6
360,1883,1125,0.6
1896,1299,776,0.6
155,1788,1068,0.6
2388,2195,1311,0.6
730,365,218,0.6
1601,1832,1094,0.6
2151,139,83,0.6
561,479,286,0.6
2545,752,449,0.6
1761,1881,1123,0.6
2351,670,400,0.6
2474,330,197,0.6
2494,1912,1141,0.6
341,3117,1860,0.6
2906,1143,682,0.6
2825,1227,732,0.6
1384,1108,661,0.6
2928,1631,973,0.6
470,399,238,0.6
110,3587,2139,0.6
715,976,582,0.6
293,2249,1341,0.6
2941,1912,1140,0.6
2060,2798,1668,0.6
497,1025,611,0.6
1758,1770,1055,0.6
352,908,541,0.6
1781,1593,949,0.6
2072,1662,990,0.6
324,784,467,0.6
1001,549,327,0.6
2722,848,505,0.6
1213,487,290,0.6
1062,262,156,0.6
1156,415,247,0.6
2660,1277,760,0.6
2066,484,288,0.6
2026,1926,1146,0.6
1912,1469,874,0.59
1283,2975,1770,0.59
2348,943,561,0.59
984,338,201,0.59
2482,2067,1229,0.59
336,3944,2345,0.59
2790,2111,1255,0.59
482,1842,1095,0.59
1486,323,192,0.59
945,466,277,0.59
2336,488,290,0.59
2834,658,391,0.59
204,3514,2088,0.59
2533,1688,1003,0.59
846,340,202,0.59
1808,1606,954,0.59
1425,2697,1602,0.59
1747,362,215,0.59
530,3285,1951,0.59
2576,522,310,0.59
2493,2866,1702,0.59
1403,1194,709,0.59
2726,1728,1026,0.59
1418,1590,944,0.59
400,411,244,0.59
1954,529,314,0.59
2565,1486,882,0.59
2736,1331,790,0.59
2763,1862,1105,0.59
2697,2233,1325,0.59
261,1372,814,0.59
1889,327,194,0.59
1060,386,229,0.59
1464,236,140,0.59
466,838,497,0.59
1739,838,497,0.59
2173,2381,1412,0.59
2969,2842,1685,0.59
1366,253,150,0.59
2312,2962,1756,0.59
2771,948,562,0.59
1684,1930,1144,0.59
372,1019,604,0.59
1948,545,323,0.59
2698,1770,1049,0.59
2932,1485,880,0.59
2098,1588,941,0.59
2816,1529,906,0.59
2956,1740,1031,0.59
36,719,426,0.59
2292,1060,628,0.59
2512,1136,673,0.59
554,4264,2526,0.59
109,2826,1674,0.59
2674,1182,700,0.59
852,3700,2191,0.59
839,255,151,0.59
2040,505,299,0.59
617,5327,3153,0.59
1396,1230,728,0.59
956,1269,751,0.59
2869,1362,806,0.59
514,529,313,0.59
661,960,568,0.59
2475,612,362,0.59
168,1765,1044,0.59
1678,2729,1614,0.59
18,4226,2499,0.59
1430,707,418,0.59
2549,1338,791,0.59
2193,4084,2414,0.59
2628,1389,821,0.59
2677,2472,1461,0.59
1691,1066,630,0.59
662,1017,601,0.59
1813,1193,705,0.59
135,748,442,0.59
190,1826,1079,0.59
1696,2178,1287,0.59
2699,1980,1170,0.59
1803,4292,2536,0.59
2407,1547,914,0.59
2088,860,508,0.59
282,1522,899,0.59
2531,1827,1079,0.59
2950,2000,1181,0.59
1939,2757,1628,0.59
296,547,323,0.59
56,1477,872,0.59
535,1008,595,0.59
1150,898,530,0.59
2989,2025,1195,0.59
446,522,308,0.59
2657,983,580,0.59
1075,1268,748,0.59
2423,1124,663,0.59
1860,1614,952,0.59
471,780,460,0.59
2498,753,444,0.59
1635,614,362,0.59
2845,1442,850,0.59
321,1298,765,0.59
2483,1159,683,0.59
1217,1383,815,0.59
503,728,429,0.59
290,465,274,0.59
1816,2269,1337,0.59
1615,1132,667,0.59
2930,1076,634,0.59
2960,3654,2153,0.59
129,1239,730,0.59
922,684,403,0.59
1033,443,261,0.59
1698,2283,1345,0.59
61,1380,813,0.59
2082,1414,833,0.59
2642,2122,1250,0.59
2730,1377,811,0.59
2559,1231,725,0.59
986,669,394,0.59
1681,2593,1527,0.59
686,1221,719,0.59
1919,1041,613,0.59
2530,1255,739,0.59
1640,1075,633,0.59
1955,1610,948,0.59
259,715,421,0.59
648,1070,630,0.59
2919,1595,939,0.59
308,3287,1935,0.59
2617,2049,1206,0.59
1028,5067,2982,0.59
2093,605,356,0.59
2267,2077,1222,0.59
2006,1348,793,0.59
787,1287,757,0.59
2393,1860,1094,0.59
2225,3579,2105,0.59
2611,692,407,0.59
2939,3489,2052,0.59
213,1238,728,0.59
2987,1505,885,0.59
1829,1170,688,0.59
2065,517,304,0.59
38,1546,909,0.59
838,558,328,0.59
1794,968,569,0.59
2236,1885,1108,0.59
1587,1470,864,0.59
1981,1174,690,0.59
2269,924,543,0.59
1147,2054,1207,0.59
2218,914,537,0.59
2042,1401,823,0.59
1998,366,215,0.59
1049,538,316,0.59
1824,3172,1863,0.59
1994,344,202,0.59
19,3442,2021,0.59
1984,1758,1032,0.59
534,2063,1211,0.59
1661,2770,1626,0.59
62,845,496,0.59
2310,2651,1556,0.59
1621,627,368,0.59
812,1208,709,0.59
2155,547,321,0.59
2201,1544,906,0.59
1579,438,257,0.59
2546,542,318,0.59
1362,421,247,0.59
609,2971,1743,0.59
752,2915,1710,0.59
1299,1768,1037,0.59
2949,1618,949,0.59
2651,1514,888,0.59
600,1255,736,0.59
2770,1122,658,0.59
1918,2309,1354,0.59
1802,2205,1293,0.59
2025,1477,866,0.59
1666,406,238,0.59
2842,1346,789,0.59
783,1317,772,0.59
458,1027,602,0.59
1106,1329,779,0.59
2262,1846,1082,0.59
2438,1556,912,0.59
2003,720,422,0.59
2977,2565,1503,0.59
2443,1712,1003,0.59
416,1130,662,0.59
1712,705,413,0.59
2171,1970,1154,0.59
2099,1825,1069,0.59
2537,1277,748,0.59
314,2870,1681,0.59
2784,1820,1066,0.59
2543,1161,680,0.59
1859,2042,1196,0.59
151,893,523,0.59
139,572,335,0.59
1710,2288,1340,0.59
192,3217,1884,0.59
1916,362,212,0.59
2567,543,318,0.59
2695,362,212,0.59
2167,1146,671,0.59
29,1404,822,0.59
1764,2335,1367,0.59
1811,1775,1039,0.59
1356,639,374,0.59
1754,1391,814,0.59
1146,1574,921,0.59
900,2227,1303,0.59
2895,829,485,0.59
762,1094,640,0.59
2985,1359,795,0.58
108,1159,678,0.58
2134,1872,1095,0.58
2558,677,396,0.58
847,224,131,0.58
2927,1067,624,0.58
2554,638,373,0.58
2944,2044,1195,0.58
1374,1093,639,0.58
2456,1129,660,0.58
2452,1432,837,0.58
2266,953,557,0.58
2916,835,488,0.58
2976,2772,1620,0.58
2387,1612,942,0.58
1354,2355,1376,0.58
2302,1520,888,0.58
2540,1428,834,0.58
2430,1858,1085,0.58
1985,2007,1172,0.58
1262,2829,1652,0.58
2347,3425,2000,0.58
2622,2079,1214,0.58
2803,3682,2150,0.58
1665,1281,748,0.58
883,1353,790,0.58
2252,1396,815,0.58
2307,800,467,0.58
450,1057,617,0.58
2952,2402,1402,0.58
2852,1004,586,0.58
2097,2476,1445,0.58
1989,317,185,0.58
2079,1950,1138,0.58
881,742,433,0.58
1533,1054,615,0.58
2832,737,430,0.58
2371,984,574,0.58
1546,823,480,0.58
1805,1082,631,0.58
2883,2351,1371,0.58
1690,1113,649,0.58
1676,2799,1632,0.58
1295,578,337,0.58
1067,554,323,0.58
1923,1542,899,0.58
2068,1410,822,0.58
454,856,499,0.58
1400,1851,1079,0.58
311,1146,668,0.58
2473,1062,619,0.58
1189,2100,1224,0.58
2943,2692,1569,0.58
499,1141,665,0.58
2900,2071,1207,0.58
388,1256,732,0.58
894,302,176,0.58
2175,1347,785,0.58
2917,2308,1345,0.58
2440,2121,1236,0.58
1249,2569,1497,0.58
2131,3824,2228,0.58
1958,817,476,0.58
103,1792,1044,0.58
289,1320,769,0.58
2126,2640,1538,0.58
2189,1538,896,0.58
2121,1157,674,0.58
2142,3193,1860,0.58
2187,2335,1360,0.58
301,807,470,0.58
1789,2696,1570,0.58
1756,304,177,0.58
1576,1022,595,0.58
299,1424,829,0.58
2814,1790,1042,0.58
2083,1912,1113,0.58
2694,682,397,0.58
2959,1548,901,0.58
264,835,486,0.58
1852,2134,1242,0.58
487,1220,710,0.58
2578,421,245,0.58
2090,1849,1076,0.58
504,586,341,0.58
1992,1686,981,0.58
1741,220,128,0.58
1255,1724,1003,0.58
2757,3161,1839,0.58
2362,1064,619,0.58
307,2993,1741,0.58
621,1518,883,0.58
2631,1348,784,0.58
2873,282,164,0.58
9,1073,624,0.58
2476,1116,649,0.58
2800,1116,649,0.58
1942,2368,1377,0.58
2220,1988,1156,0.58
596,1025,596,0.58
24,2351,1367,0.58
1137,786,457,0.58
31,3036,1765,0.58
2805,2718,1580,0.58
2446,1765,1026,0.58
2419,1827,1062,0.58
2844,1700,988,0.58
1874,2120,1232,0.58
1652,2091,1215,0.58
154,3886,2258,0.58
1491,1377,800,0.58
315,3100,1801,0.58
2884,1952,1134,0.58
1034,618,359,0.58
2731,785,456,0.58
1975,544,316,0.58
246,1255,729,0.58
2237,2238,1300,0.58
2400,606,352,0.58
2671,2006,1165,0.58
4,3327,1932,0.58
1995,2206,1281,0.58
2243,1438,835,0.58
165,2704,1570,0.58
959,2744,1593,0.58
638,3168,1839,0.58
1558,1926,1118,0.58
1935,1833,1064,0.58
1509,1628,945,0.58
2920,1604,931,0.58
1987,1082,628,0.58
2938,2619,1520,0.58
1251,1263,733,0.58
1030,1935,1123,0.58
2601,1027,596,0.58
2891,2297,1333,0.58
1612,1310,760,0.58
1873,631,366,0.58
2463,1414,820,0.58
1972,852,494,0.58
2760,1463,848,0.58
2954,616,357,0.58
2464,2333,1352,0.58
2416,718,416,0.58
91,1745,1011,0.58
354,958,555,0.58
2714,1072,621,0.58
2907,2693,1560,0.58
1124,1079,625,0.58
274,537,311,0.58
1259,651,377,0.58
2795,1637,948,0.58
2139,1454,842,0.58
2723,1290,747,0.58
